00:22:19.943950 DCon61   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:19.945811 DCon55   Platform architecture set to 'x86'
00:22:19.947724 DCon61   Saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:22:19.949311 DCon61   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:19.950351 DCon61   Saving settings file "/home/elf/VirtualBox VMs/plasticity/plasticity.vbox" with version "1.19-linux"
00:22:19.952733 DCon61   Finished saving settings file "/home/elf/VirtualBox VMs/plasticity/plasticity.vbox"
00:22:19.955206 DCon55   UnattendedInstaller::initInstaller: UnattendedInstaller::savePassedData(): 
00:22:19.962785 DCon55   Platform architecture set to 'x86'
00:22:19.963462 DCon55   Saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:22:19.965881 DCon55   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:19.965939 DCon55   Saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:22:19.967315 DCon55   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:19.967455 DCon55   Saving settings file "/home/elf/VirtualBox VMs/plasticity/plasticity.vbox" with version "1.19-linux"
00:22:19.968790 DCon55   Finished saving settings file "/home/elf/VirtualBox VMs/plasticity/plasticity.vbox"
00:22:19.971374 DCon55   Launched VM: 939660560 pid: 29361 (0x72b1) frontend: GUI/Qt name: plasticity
00:22:20.002040 DCon61   Saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:22:20.003639 DCon61   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:20.292457 DCon63   Saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:22:20.294160 DCon63   Finished saving settings file "/home/elf/.config/VirtualBox/VirtualBox.xml"
00:22:20.302522 DCon61   Platform architecture set to 'x86'
00:22:20.377483 DCon65   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:22:20.394599 DCon65   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:22:20.492954 DCon65   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:22:20.576323 DCon65   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:22:20.578070 DCon65   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:22:20.886116 DCon61   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
